,course_id,reviewer_name,rating,review_text,url
0,3d-printing,Крылов А О,5,"Замечательный курс, доходчиво рассказывает.",https://www.coursera.org/learn/3d-printing/reviews?page=1
1,3d-printing,Yauhen V,5,"Курс отличный, жаль не могу бесплатно пройти",https://www.coursera.org/learn/3d-printing/reviews?page=1
2,3d-printing,Dmitriy O,4,"Курс хороший, но слишком базовый. Его бы расширить - цены не будет. Отдельно спасибо преподавателю.",https://www.coursera.org/learn/3d-printing/reviews?page=1
3,3d-printing,Москинский Г,4,"Хороший обзор по 3D печати. Дает базовые знания для начинающих и тех, кто хочет попробовать себя в 3 D печати. После этого курса почти уже решился приобрести принтер :)",https://www.coursera.org/learn/3d-printing/reviews?page=1
4,3d-printing,Никита,5,"Введение в 3д печать, было очень познавательно.",https://www.coursera.org/learn/3d-printing/reviews?page=1
5,3d-printing,barmaleev,4,"На мой вкус немного поверхностно, в том смысле что хорошо бы еще схемы как платы спаять и подробнее что представляет из себя прошивка - чтобы совсе все самому сделать.",https://www.coursera.org/learn/3d-printing/reviews?page=1
6,3d-printing,Дмитрий П,5,Кратко и по сути! Спасибо.,https://www.coursera.org/learn/3d-printing/reviews?page=1
7,3d-printing,Nikita S,5,"Отличный курс! Все очень подробно и интересно расписано и разложено по полочкам. Спасибо автору, теперь я смогу собрать свой трехмерный принтер :)",https://www.coursera.org/learn/3d-printing/reviews?page=1
8,3d-printing,Stanislav P,5,Очень хороший вводный курс для новичков 3D-печати .,https://www.coursera.org/learn/3d-printing/reviews?page=1
9,3d-printing,Гич В А,5,Очень подробно и хорошо,https://www.coursera.org/learn/3d-printing/reviews?page=1
10,3d-printing,Petrovskiy E,5,О,https://www.coursera.org/learn/3d-printing/reviews?page=1
11,3d-printing,Александр,5,"В результате данного курса вы действительно научитесь собирать 3D-принтер, настраивать его и освоите технологии 3D-печати.",https://www.coursera.org/learn/3d-printing/reviews?page=1
12,3d-printing,Алексей,5,"Отличный курс для первого знакомства с 3D-печатью. Подробно представлены наименования всех комплектующих для самостоятельной сборки 3D-принтера, а также тех инструментов, которые понадобятся. Это не так уж сложно, как кажется сначала. Надо только последовательно и внимательно придерживаться инструкциям из лекций курса =) ",https://www.coursera.org/learn/3d-printing/reviews?page=1
13,3d-printing,Gubarenko N,5,Thanks.,https://www.coursera.org/learn/3d-printing/reviews?page=1
14,3d-printing,Andrey V,4,"Хорошо, но очень мало. ",https://www.coursera.org/learn/3d-printing/reviews?page=1
15,algebra-lineynaya,Alexander L,1,"1. В лекциях рассказывается один материал, а в практических заданиях (тестах) спрашивают в основном о том чего не было в лекциях и уровень вопросов на порядок выше.2. Сами лекции очень скучные. Мало практических примеров и много чтения формул и текста со слайдов.3. Не увидел полезных ссылок  на дополнительные материалы в конце каждой недели , которые помогли бы решить практические задания. В общем типичный, скучный курс сделанный на территории СНГ. ",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
16,algebra-lineynaya,Сокол С А,3,Слабая взаимосвязь между лекциями и практикой в тестах. Приходится дополнительно гуглить методологию. ,https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
17,algebra-lineynaya,Bishop M,1,Все очень формально... Посмотрите для сравнения лекции по линейной алгебре профессора Strange из MIT (на ютубе) и будет сразу видна разница :( между формальной начиткой лекций на камеру и реальным пониманием и отличной подачей материала.,https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
18,algebra-lineynaya,Zelenskiy P,5,К,https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
19,algebra-lineynaya,соколов и С ,5,"Здорово! Всё подробно, много примеров, очень сложные и непонятные вещи рассказаны простым языком. Ещё бы больше небольших, совсем маленьких промежуточных задач.",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
20,algebra-lineynaya,Максим Н К,4,"Мне показался довольно сложным, но очень интересным.",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
21,algebra-lineynaya,Andrew Z,5,"Отличный курс! Лекции понятны, задания не дают расслабиться, но четко направленные на закрепление теории.",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
22,algebra-lineynaya,Sergei K,4,Без дополнительных материалов или без других ресурсов тяжело будет освоить.,https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
23,algebra-lineynaya,Степченко В,5,"Курс интересный и хороший, большое спасибо! Но на мой взгляд нехватает примеров, было бы хорошо добавить к лециям ""семинары"" с решением задачек.",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
24,algebra-lineynaya,Хесин И А,5,"Благодарю организаторов курса, всех комментаторов из числа преподавателей и Ирину-прекрасную за полезный курс и мой первый сертификат на Курсере!",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
25,algebra-lineynaya,Fedorov A N,5,"Курс идеален для студентов нетехнических специальностей, особенное восхищение вызывает подача материала - каждая мат. конструкция имеет под собой понятную и логичную основу. Очень жаль, что нет более углубленного варианта курса.",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
26,algebra-lineynaya,Юдин С И,5,"Очень интересный и полезный курс!Единственный минус: для не очень увлеченного человека может показаться скучным, несмотря на то, что линейная алгебра это очень интересная наука! Было бы хорошо в следующих курсах добавить побольше приложений вне рамок линейной алгебры (задачи про аппроксимацию и про карту были супер!)",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
27,algebra-lineynaya,Куняев С А,5,"Плюсы: Очень хороший курс, особенно для тех, кто ранее не изучал математику и имеет исключительно школьные базовые знания. Материал дается в доступной и понятной форме. Все непонятные моменты и опечатки в слайдах оговорены в обсуждениях на форуме. Стоит отметить команду курса - курс поддерживается, на вопросы слушателей команда курса отвечает оперативно. Отдельное большое спасибо ВШЭ за то, что курс бесплатный. Минусы: Нет тренировочных задач по каждой теме (лекции). Нужно хотя бы 2 задачи на лекцию для закрепления материала и для понимания, насколько верно слушатель понял материал.Пожелания: на курсере теперь отсутствует фильтр поиска по вузам. Пожалуйста, говорите (пишите) о других курсах ВШЭ, размещенных на курсере. Можно сделать отдельную ветку на форуме. К примеру, у ВШЭ на курсере есть замечательный курс по питону. Рекламируйте своих коллег)))",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
28,algebra-lineynaya,Olga F,5,"Абсолютно фантастическое объяснение материала, очень доступно и подробно. Задания заставляют задуматься, но не требуют перерыть интернет в поисках доп материала.Очень рекомендую.",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
29,algebra-lineynaya,Fenuk I,4,"Неплохой курс для того, чтобы начать заниматься линейной алгеброй. Чтобы систематизировать знания, лучше начинать читать параллельно учебник, например Кострикина ""Введение в алгебру"".",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
30,algebra-lineynaya,Gadzhi M,4,"Задачки могли бы быть посложнее/поинтереснее, а в целом курс очень понравился",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
31,algebra-lineynaya,Шандрыгин Ф В,4,"Курс понравился, но в качестве первого вхождения я бы не посоветовал, так как к содержимому в некоторых местах есть вопросы. Организаторы давно забили на его поддержку, так что ответов от них вы не дождётесь. Местами удивлял тупенький парсер ответов (отмечал правильный ответ неправильным из-за лишних пробелов).",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
32,algebra-lineynaya,Yaroslav S,5,"Очень хороший курс, неплохо вводятся основные понятия линейной алгебры и некоторые основные теоремы, поэтому в дальнейшем при ознакомлении с более глубоким материалом не будешь путаться в терминах и понятиях. Однако хотелось бы, что бы некоторые теоремы доказывались более строго, без ""поверим"". Кроме этого претензий больше не имеется. Спасибо за курс!",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
33,algebra-lineynaya,Валерия Ш,5,"Курс оказался гораздо лучше, чем я ожидала, прочтя отзывы здесь. Всё доступно и последовательно. Конечно, много раз приходилось лезть в интернет, чтобы понять материал - многие детали опущены - но это не проблема, я считаю, когда ясно, что именно искать.  ",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
34,algebra-lineynaya,Вернер А И,5,"Отличный курс. Спасибо преподавателям! Были рассмотрены важные темы, которые обычно не проходятся. Материал излагался чётко, с примерами. Очень доволен.",https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
35,algebra-lineynaya,Nikolai M,5,Добротный курс!,https://www.coursera.org/learn/algebra-lineynaya/reviews?page=1
