,course_id,title,instructors,key_words,course_descr
0,2-speed-it,"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective",Antoine Gourévitch Vanessa Lyon Eric Baudson,Business Business Essentials ,"Transform or disappear, the Darwinism of IT: In order to adapt to a digital world, a two-speed IT is needed.
Despite the importance of IT in today’s digital world, Chief Information Officers (CIOs) often struggle to get their voices heard by executive committees.
Faced with this challenge, IT departments are being forced to reinvent themselves to adapt their companies to the fast paced evolution of technology. The Boston Consulting Group has developed a business approach that allows IT to shed off its appearance of a heavy cost center and to adopt a new, more realistic persona as a quality service provider, partnering with users and the management.
Would you be a professional, a student in engineering, a student in a business schools or would you just be interested in digital transformation and its implications on IT, Learn with three BCG experts why and how to manage an IT department as a business in order to transform a company and adapt it to a digital world.

Join the conversation: #2SpeedIT Introduction IT and the CIO in the Digital World Steer the Balance Sheet Market and Sell Products"
1,3d-printing-applications,3D Printing Applications,Vishal Sachdev,Business Entrepreneurship ,"This course will help you understand how 3D printing is being applied across a number of domains, including design, manufacturing, and retailing. It will also demonstrate the special capabilities of 3D printing such as customization, self-assembly, and the ability to print complex objects. In addition to business applications, this course will also examine how individuals, including those in developing countries, are using this technology to create solutions to the problems they face. This course will also provide an overview of design thinking and how you can use this framework to develop ideas that can be turned into objects. Learners who complete this course will obtain a rich understanding of the capabilities of 3D printing and how to think about designing objects for this new technology. Course Orientation Module 1: 3D Printing – A New Way of Making Module 2: 3D Printing – On-Demand Manufacturing Module 3: 3D Printing for Development and Education Module 4: From Ideas to Objects  Course Wrap Up"
2,3d-printing-revolution,The 3D Printing Revolution,Aric Rindfleisch,Business Entrepreneurship Materials Product Development New Product Development Human–Computer Interaction,"This course will demonstrate how 3D printers work, show what people make with them, and examine the 3D printing ecosystem. It will also explore the future of 3D printing and discuss how this technology will revolutionize our world. The course materials include informative video lectures, on-location interviews with a variety of 3D printing experts, and engaging hands-on exercises. Learners who complete this introductory course will have a solid understanding of 3D printing and its revolutionary potential, and will be able to print and customize 3D designs.

This course was listed in the top 50 MOOC's of all time by Class-Central (https://www.class-central.com/report/top-moocs/) Course Orientation Module 1: What Is 3D Printing? Module 2: Why Is It Revolutionary? Course Conclusion"
3,3d-printing-software,3D Printing Software,Jeffrey Smith,Business Entrepreneurship ,"This course will demonstrate how to use 3D printing software to create digital designs that can be turned into physical objects. It will also demonstrate how 3D scanners work to turn physical objects into digital designs. This course is hands-on in nature and will provide step-by-step instructions to guide you through two popular 3D modeling programs, Tinkercad and Fusion 360. Learners who complete this course will be able to use 3D software to design a wide variety of objects for both personal and professional use. In addition, learners who enroll in the course certificate will receive extended free access to Fusion 360 (provided by Autodesk).

Please copy/paste the following links to your browser's search bar to view the requirements for each of the following software elements used in this course:

Sketchbook: https://support.sketchbook.com/hc/en-us/articles/209671938-SketchBook-Desktop-System-Requirements

Tinkercad: https://support.tinkercad.com/hc/en-us/articles/205849108-What-are-Tinkercad-s-Browser-and-Platform-requirements-

Autodesk Fusion 360: https://knowledge.autodesk.com/support/fusion-360/troubleshooting/caas/sfdcarticles/sfdcarticles/System-requirements-for-Autodesk-Fusion-360.html

Sketchfab: https://help.sketchfab.com/hc/en-us/articles/203059088-Compatibility

123D Catch: Same as Tinkercad Course Orientation Module 1: Design Sketching for 3D Printing Module 2: Tinkercad Module 3:  Fusion 360 Basics Module 4: Fusion 360 Advanced"
4,abdomen-anatomy,Anatomy of the Abdomen and Pelvis; a journey from basis to clinic.  ,Marco De Ruiter PhD Paul Gobée MD Beerend P. Hierck PHD. Daniël Jansma MSc Bas Boekestijn MD Friso Jansen,Health Basic Science ,"In this anatomy course you will explore the organs involved in our food digestion and discover the common causes of abdominal and pelvic pain. The latest graphics and animations will help you to find new insights and understanding of this part of the body, that has been the focus of anatomical research for centuries and presently arouses renewed scientific interest.

You will explore the 3D anatomy of the organs from a basic level, providing thorough anatomical understanding, to its advanced application in surgical procedures. This course will challenge you to discover and help you to understand the anatomy of the abdomen and pelvis in all its aspects, ranging from its embryological underpinnings, via digital microscopy to gross topography and its clinical applications.

The course is unique in that it continuously connects basic anatomical knowledge from the lab with its medical applications and current diagnostic techniques. You’ll get the chance to discuss anatomical and clinical problems with peers and experts in forum discussions and you will receive guidance in exploring the wealth of anatomical information that has been gathered over the centuries. Follow us on an exciting journey through the abdomen and pelvis where you digest your food but also where new life starts! Introduction Mapping the abdomen and pelvis Trip into the gut ""The gut and its suppliers and purchasers"" Knowing your peritoneal relationships"
5,ableton-live,Introduction to Ableton Live,Erin Barra,Arts and Humanities Music and Art Audio Recording File Management Music mixing Abelton Live MIDI programming,"In the past, Digital Audio Workstations (DAWs) were programs used only by audio engineers with a highly specific knowledge base, on machines inaccessible to most people. But over the past 10-15 years, DAWs and the act of recording music have evolved from being a luxury of the few to being available to the masses. Ableton Live is one such application. Used by an extremely broad range of music creators, Ableton Live not only facilitates the work of engineers, producers, and writers in professional, home, and mobile studio settings, but it is also a powerful platform for musicians on stage, in the DJ booth, and elsewhere.

In this course, you will explore some of Live’s most powerful and useful functionality: MIDI programming, audio recording, warping and processing, looping editing, mixing, performing, file management, and troubleshooting. Meant to be a springboard for those who are new to Ableton Live and/or DAWs in general, this three-week course will provide you with a strong knowledge base for using Live to take your musical ideas from conception to final recording. The course breaks down the many barriers of entry into music technology and encourages all those who wish, to create fearlessly.

Note: If you do not own Ableton Live 9, you can download the free, fully featured Ableton Live Trial. The trial version will allow you to save and export your work for 30 days. If you use the trial version, do not download it until the course is scheduled to begin. Welcome to Introduction to Ableton Live Getting Our Hands Dirty Polishing the Sound The Endless Possibilities"
6,aboriginal-education,Aboriginal Worldviews and Education,Jean-Paul Restoule,Social Sciences Education ,"Intended for both Aboriginal and non-Aboriginal learners, this course will explore indigenous ways of knowing and how they can benefit all students. Topics include historical, social, and political issues in Aboriginal education; terminology; cultural, spiritual and philosophical themes in Aboriginal worldviews; and how Aboriginal worldviews can inform professional programs and practices, including but not limited to the field of education. Welcome and Orientation to the Course Aboriginal Worldviews Aboriginal Worldviews Colliding with Newcomers A Brief History of Aboriginal Education Contemporary Themes in Aboriginal Education"
7,academic-discussion-english,Academic Discussions in English,Tamy Chapman Meg Parker Helen Nam Brad Gilpin,Language Learning Learning English ,"This is the third course in the Learn English: Advanced Speaking and Listening specialization. In this class you will learn about different types of conversations you will have in academic settings. You will also learn some strategies for helping you understand other people's meaning and for helping you express yourself effectively. Learners will record several videos of themselves participating in assigned group discussions with their own friends and upload the videos for peer feedback. While this might seem intimidating, it will be a great opportunity for you to practice and improve your discussion skills.

Please note that the free version of this class gives you access to all of the instructional videos and handouts. The peer feedback and quizzes are only available in the paid version. Introduction to Discussions Elaboration Interaction Synthesis"
8,academic-literacy,Academic Literacy,Elena Bazanova,Language Learning Learning English ,This is the first course of the English for Research Publication Purposes Specialization. The course is an introduction to what you need to know about academic discourse. You’ll gain important critical reading skills to help you develop as a self-critical scientific writer. You will learn practical tools and effective strategies for increasing your academic vocabulary and grammar so that you will write well-structured coherent academic texts. MODULE I: THE READING–RESEARCH–WRITING CONTINUUM MODULE II : DEVELOPING ACADEMIC VOCABULARY MODULE III :  FUNDAMENTALS OF ACADEMIC GRAMMAR MODULE IV : ACADEMIC DISCOURSE
9,academic-writing-capstone,Project: Writing a Research Paper,Tamy Chapman Helen Nam Brad Gilpin,Language Learning Learning English ,"Welcome to the capstone project for the Academic English: Writing Specialization! This project lets you apply everything you’ve learned and gives you the practice you need for college classes by having you write a research paper.  You'll have several due dates throughout the capstone to help you stay on schedule.

In this capstone project, you will:
 - conduct research on an academic topic of your choice
 - create an outline to plan out your essay
 - write a short annotated bibliography to help you evaluate your sources
 - write a 7-8 page research paper
 - use source material correctly with MLA format Getting Started Research and Annotated Bibliography First Draft and Introduction Paragraph The Rough Draft"
