,Unnamed: 0,course_id,title,topics,about,instructors,language,metrics,product_glance,average_score,ratings_count,reviews_count,skills,syllabus,recommendations,url
4,4,3d-printing,3D-печать для всех и каждого,"['Computer Science', 'Design and Product']","Наверняка многие из вас слышали о трёхмерной печати, и при этом большинство полагает, что это что-то из области высоких технологий, а потому очень сложное, дорогое и недоступное простым смертным. На самом деле всё гораздо проще, интереснее и доступнее. Каждый, кто пройдёт обучение на этом курсе, сможет собрать свой собственный бытовой 3D-принтер, открывая практически безграничные горизонты моделирования, прототипирования и создания эксклюзивных вещей.
В курсе будет продемонстрирован весь технологический процесс печати трёхмерных объектов. Вы узнаете, что такое 3D-модели и как их создают в редакторах трёхмерной графики, наглядно увидите, какими способами формируют объёмные фигуры 3D-принтеры, узнаете, из каких функциональных элементов состоят 3D-принтеры, поймёте, как работает управляющая электроника. Будет показано устройство, а также способы сборки и настройки персонального 3D-принтера, печатающего ABS пластиком.
Сертификат могут получить слушатели, набравшие больше 80% от максимально возможного количества баллов. При этом итоговый результат, представленный как 100 %, складывается из следующих составляющих: тесты к модулям 1, 2, 3, 4 и 7 дают 15 %, тесты к модулям 5 и 6 дают 20 %. Сертификат о прохождении данного курса дает дополнительные баллы при поступлении в магистратуру Национального исследовательского Томского государственного университета. Перечень магистерских программ находится по ссылке: https://pro-online.tsu.ru/edu/student/table.php",['Николай Георгиевич Булахов (Nikolay G. Bulakhov)'],Russian,"['6,133 already enrolled!', '1,739 recent views']","['100% online', 'Flexible deadlines', 'Approx. 8 hours to complete', 'Russian']",4.699999809265137,15,15,[],"['Добро пожаловать на курс «3D-печать для всех и каждого»', 'Технологии трёхмерной печати', 'Устройство и принцип работы трёхмерного принтера, печатающего методом послойного наплавления', 'Сборка механической части принтера', 'Установка необходимого программного обеспечения принтера']","['system-validation-behavior', 'system-validation-modal-formulas']",https://www.coursera.org/learn/3d-printing
48,48,algebra-lineynaya,Линейная алгебра (Linear Algebra),"['Math and Logic', 'Math and Logic']","Это стандартный курс линейной алгебры, содержащий все необходимые для статистики и многомерного анализа приложения и алгоритмы, но не всегда содержащий подробные доказательства.

Данный курс пригодится вам для того, чтобы изучить азы линейной алгебры и ознакомиться с базовыми определениями, понятиями и алгоритмами, научиться решать задачи, в которых необходим данный инструментарий. Многие пространственные задачи требуют знания линейной алгебры, а так же ряд задач экономики находит более простое решение, если владеть механизмами решения таких задач; эта наука находит себе применение во всех направлениях математики и ее приложениях, которые только можно представить.  После прохождения данного курса вы научитесь корректно использовать понятия вектора, базиса, линейного пространства и линейной зависимости, оператора и матрицы, а так же овладеете несложными инструментами для решения и анализа задач линейной алгебры, научитесь оперировать матрицами и находить максимально подходящие условия для поиска ответа; ознакомитесь с классическими теоремами и  узнаете красивые задачи данной науки, а также научитесь проверять свои решения на корректность, а результаты на адекватность, а еще мы обсудим теорему Перрона-Фробениуса и ее приложение к индексированию страниц в интернете.
Внимательно смотрите лекции и вовремя выполняйте все необходимые задания. Удачи!",['Irina Khovanskaya'],Russian,"['17,042 already enrolled!', '24,307 recent views']","['100% online', 'Flexible deadlines', 'Beginner Level', 'Approx. 37 hours to complete', 'Russian']",4.5,34,34,[],"['Понятие линейного пространства ', 'Линейные функции на линейном пространстве', 'Базис линейного пространства', 'Системы линейных уравнений']","['galois', 'enumerative-combinatorics']",https://www.coursera.org/learn/algebra-lineynaya
120,120,astrofizika,Астрофизика: от звезд до границ Вселенной,"['Physical Science and Engineering', 'Physics and Astronomy']","Этот курс посвящен ключевым проблемам современной астрофизики: рождению, эволюции и финальной стадии жизни звезд. 
Некоторые из них, например, нейтронные звезды отличаются сверхвысокой плотностью вещества и сверхсильными магнитными полями — такие условия пока недостижимы для современных лабораторий. Как же ученые исследуют эти объекты? 
В курсе вы познакомитесь с работой специалистов астрофизики высоких энергий и нейтринной астрономии и разберетесь, зачем люди изучают вспышки сверхновых, ускорение заряженных частиц на космических ударных волнах и высокоэнергитичные нейтрино.
А главы, посвященные теоретической и наблюдательной космологии, объяснят, как эта наука отвечает на вопросы о рождении Вселенной, динамике ее расширения и о формах материи ее заполняющих.",['Варшалович Дмитрий Александрович'],Russian,"['4,505 already enrolled!', '2,738 recent views']","['100% online', 'Flexible deadlines', 'Approx. 24 hours to complete', 'Russian']",4.800000190734863,6,6,[],"['Звезды: от рождения до смерти', 'Основы теоретической космологии', 'Наблюдательная космология', 'Астрофизика высоких энергий']","['how-things-work', 'big-bang']",https://www.coursera.org/learn/astrofizika
174,174,bioinformatika,Введение в биоинформатику (Introduction to Bioinformatics),"['Health', 'Health Informatics']","Курс «Введение в биоинформатику» адресован тем, кто хочет получить расширенное представление о том, что такое биоинформатика и как она помогает биологам и медикам в их работе.


The course is aimed at those who would like to have a better idea of what bioinformatics is and how it helps biologists and medical scientists in research and clinical work.","['Alla L Lapidus', 'Николай Вяххи', 'Павел  Добрынин', 'Михаил Райко', 'Екатерина Черняева']",Russian,"['6,268 already enrolled!', '5,260 recent views']","['100% online', 'Flexible deadlines', 'Beginner Level', 'Approx. 24 hours to complete', 'Russian']",0.0,0,0,[],"['Неделя 1 - Введение (Week 1 - Introducton)', 'Неделя 2 - Технологии секвенирования (Sequencing Technologies)', 'Неделя 3 - Контроль качества (Quality Control)', 'Неделя 4 - Сборка ДНК de novo (De novo DNA assembly)']","['comparing-genomes', 'genome-sequencing']",https://www.coursera.org/learn/bioinformatika
176,176,biosensory,Биосенсоры,"['Health', 'Research']","Чем больше информации об окружающей среде получает организм, тем выше его шансы на выживание. Все живое так или иначе реагирует на изменения вокруг себя. Улавливать эти изменения и сигнализировать о них центральной нервной системе – задача сенсоров клеточных мембран, чувствительных к той или иной форме энергии.

На этом курсе вы узнаете об устройстве различных сенсорных систем на молекулярном уровне и познакомитесь с некоторыми деталями работы нервной системы. Мы выясним, как реагирует простейшая сенсорная система на уровне одноклеточных организмов, как они определяют погодные условия вокруг себя и какие глаза бывают у одноклеточных.

Вместе с эволюцией организма происходит эволюция его сенсоров. Поэтому в ходе курса вам придется столкнуться с самыми разнообразными сенсорными системами многоклеточных животных: механо- и термочувствительной, хемо- и фоточувствительной, а также узнать о редких и недоступных людям способах ощущения мира – электро- и магниторецепции.",['Анна Юшкова'],Russian,"['2,977 already enrolled!']","['100% online', 'Flexible deadlines', 'Beginner Level', 'Approx. 17 hours to complete', 'Russian']",0.0,0,0,[],"['Молекулярные основы сенсорных систем', 'Механочувствительность. Часть 1', 'Механочувствительность. Часть 2', 'Хемочувствительность']","['mastering-statics', 'disease-genes']",https://www.coursera.org/learn/biosensory
186,186,bulgakov-master-i-margarita,Читаем русскую классику вместе.  М. Булгаков «Мастер и Маргарита»,"['Language Learning', 'Other Languages']","Курс «Читаем русскую классику вместе. М. Булгаков ""Мастер и Маргарита""» нацелен на овладение в совместной деятельности (преподаватель-студент) универсальной поэтапной моделью работы с художественным текстом, которая может быть использована как основа для формирования навыков смыслового чтения художественного произведения. Подобные навыки значимы как в реальной коммуникации, так и в учебной деятельности (на родном и иностранном языке). Произведение М. Булгакова ""Мастер и Маргарита"", выбранное для формирования навыков смыслового чтения, составляет золотой фонд мировой художественной культуры.

В этом курсе слушатели научатся:
1. анализировать художественное произведение с точки зрения коммуникативного замысла автора; 
2. комментировать текст с точки зрения полученного коммуникативного задания; 
3. интерпретировать художественный текст, выделяя содержательные и языковые единицы, являющиеся основой развития писательской мысли; 
4. прогнозировать содержание текста на основе смыслового анализа; 
5. конструировать собственное высказывание; 
6. рефлексировать по поводу образов, образных средств, коммуникативного замысла писателя; 
7. оценивать собственное речевое произведение, созданное как результат рефлексии по поводу текста.

Требования к уровню подготовки слушателей: 
- знание базового курса русской литературы в объеме средней школы (для российских участников); 
- владение русским языком на уровне B2 – C2 (для иностранных обучающихся), 
- прочитанный роман М.А. Булгакова ""Мастер и Маргарита"" (для иностранных обучающихся возможно прочтение на родном языке). 

The ideal outcome from the course is to master by means of teacher-student cooperation a universal model of work with literary text that may be used as a basis of purposeful reading skills formation. These skills are significant in real communication and in training activities (both in native and foreign languages). The writing that has been selected for purposeful reading skills formation is popular in Russia as well as abroad. Moreover it is a part of the world literature gold reserves. 

By the end of the course learners will be able 
1) to analyze a writing from the point of view of the author’s communicative idea; 
2) to comment on the text considering the provided communicative task; 
3) to interpret a writing defining meaningful and linguistic units that serve as a basis of the writer’s idea development; 
4) to predict the content of the text basing on the content analysis; 
5) to construct their own judgement; 
6) to introspect on the author’s images, means, communicative idea; 
7) evaluate their own speech utterance as a result of the introspection on the text; 
8) to compare the text of the writing considering the objective.

Needed Learner Background:
- basic knowledge of Russian literature (equivalent to the secondary education in Russia), 
- level of competency in Russian – B2 – C2  (for foreign learners), 
- the novel 'The Master and Margarita’ by Mikhail Bulgakov read in advance (foreign learners may read the translation into their native language).","['Татьяна Борисовна Банкова (Tatiana B. Bankova)', 'Елена Андреевна Юрина (Elena A. Yurina)']",Russian,"['7,849 already enrolled!', '2,168 recent views']","['100% online', 'Flexible deadlines', 'Approx. 31 hours to complete', 'Russian']",4.5,11,11,[],"['Добро пожаловать на курс «Читаем русскую классику вместе. М. Булгаков ""Мастер и Маргарита""»', 'Модуль 1', 'Модуль 2', 'Модуль 3', 'Модуль 4']","['economy-russia-transition', 'modern-art-ideas']",https://www.coursera.org/learn/bulgakov-master-i-margarita
240,240,cennye-bumagi-pravovoe-regulirovanie,Ценные бумаги: правовое регулирование,"['Business', 'Finance']","Основное внимание в процессе освоения курса направлено на формирование важнейшего практического навыка – выявление рисков рассматриваемой проблемы в комплексе и во взаимосвязи различных ее аспектов. Например, при изучении облигаций рассматриваются многие вопросы, касающиеся не только вопроса выпуска этих ценных бумаг, но и последствия неисполнения эмитентом облигаций обязанностей по выплате процентов и погашению номинальной стоимости облигаций.

ЦЕЛЬ КУРСА: сформировать целостную картину регулирования рынка ценных бумаг. Слушатели последовательно познакомятся с
·        различными видами ценных бумаг, их особенностями
·        порядком выпуска ценных бумаг, включая эмиссию
·        правилами учета бездокументарных ценных бумаг, а также порядком перехода прав на бумаги между участниками оборота
·        системой защиты прав на ценные бумаги
·        всеми профессиональными участниками рынка ценных бумаг, общей характеристикой их деятельности, наиболее сущностными моментами договоров, которые заключаются между профучастниками и их клиентами
·        основами биржевой торговли и договоров, которые заключаются на биржевых торгах.  

Курс насыщен примерами из практики, материал сопровождается демонстрацией различных схем.

НЕОБХОДИМЫЕ ЗНАНИЯ И НАВЫКИ
Для освоения курса желательно обладать базовыми знаниями в области корпоративного и договорного права.

ОБЪЕМ КУРСА
10 тем, 10 тестов, 7 заданий на взаимное оценивание.

ФОРМАТ КУРСА 
- основной материал представлен видеолекциями, каждая тема состоит из фрагментов по 5-15 мин., в общей сложности по 60-90 мин.;  
- в конце каждой темы необходимо пройти контрольный тест, состоящий из 20 вопросов; в некоторых темах контрольный тест содержит 9-15 вопросов - в этом случае контроль по теме включает в себя также одно или два задания на взаимное оценивание (сравнение сходных финансовых инструментов);
- к каждой теме прилагается перечень литературы и нормативных актов.

НЕОБХОДИМОЕ ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ
Дополнительного программного обеспечения не требуется.
Слушателям рекомендуется использовать справочно-информационные системы, например, КонсультантПлюс.

АВТОР КУРСА
Селивановский Антон Сергеевич
Доцент кафедры гражданского и предпринимательского права Национального Исследовательского Университета «Высшая школа экономики»

Работает в области юриспруденции с 1988 года, в том числе более 15 лет в таких крупных международных компаниях, как PwC (ранее Price Waterhouse, PricewaterhouseCoopers) и Baker & McKenzie. Консультировал крупные российские и иностранные банки и компании по вопросам банковского и валютного законодательства, выпуску акций и облигаций, сделкам с ценными бумагами, руководил проектами по сопровождению открытия дочерних иностранных банков в России, по секьюритизации факторинговых и лизинговых платежей, проверке банков с целью их приобретения, по реструктуризации обязательств, взысканию кредитов и инвестиций в облигации. Активно взаимодействовал с Банком России, министерствами и Государственной думой как при реализации проектов для клиентов, так и при разработке нового законодательства.   

Кандидат юридических наук.

С 2005 года активно занимается преподавательской деятельностью: проводит занятия как со студентами в рамках бакалавриата и магистратуры (программа «Корпоративный юрист»), так и с опытными специалистами на программах профессиональной переподготовки и повышения квалификации Высшей школы юриспруденции. А.С. Селивановский активно работает по программам, по которым обучаются не-юристы (руководит майнором «Правовая среда бизнеса» https://electives.hse.ru/minor_law/, проводит занятия на программах «второго высшего образования», программах МВА). 

В течение ряда лет признается Лучшим преподавателем как студентами (2012, 2013, 2014, 2015), так и слушателями Высшей школы юриспруденции (2014, 2015).

Автор монографий и более 80 статей, посвященных правовому регулированию операций на рынке ценных бумаг, деривативам, корпоративному управлению, деятельности рейтинговых агентств, внешнеэкономической деятельности и пр.

Является судьей Третейского суда НАУФОР.",['Селивановский Антон Сергеевич'],Russian,"['11,435 already enrolled!', '6,380 recent views']","['100% online', 'Flexible deadlines', 'Approx. 30 hours to complete', 'Russian']",4.800000190734863,23,23,[],"['Введение', 'Тема 1. Значение и участники фондового рынка', 'Тема 2. Понятие «ценные бумаги» и их классификации', 'Тема 3. Виды ценных бумаг', 'Тема 4. Облигации']","['european-law-fundamentals', 'eu-law-doing-business']",https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie
378,378,data-analysis-applications,Прикладные задачи анализа данных,"['Data Science', 'Data Analysis']","Методы машинного обучения — будь то алгоритмы классификации или регрессии, методы кластеризации или алгоритмы понижения размерности — применяются к подготовленным данным с вычисленными признаками для решения уже сформулированной задачи. Однако специалисты по анализу данных редко оказываются в такой идеальной ситуации. Обычно перед ними ставят задачи, которые нуждаются в уточнении формулировки, выборе метрики качества и протокола тестирования итоговой модели. Данные, с которыми нужно работать, часто представлены в непригодном виде: они зашумлены, содержат ошибки и выбросы, хранятся в неудобном формате и т. д.

В этом курсе мы разберем прикладные задачи из различных областей анализа данных: анализ текста и информационный поиск, коллаборативная фильтрация и рекомендательные системы, бизнес-аналитика, прогнозирование временных рядов. На их примере вы узнаете, как извлекать признаки из разнородных данных, какие при этом возникают проблемы и как их решать. Вы научитесь сводить задачу заказчика к формальной постановке задачи машинного обучения и поймёте, как проверять качество построенной модели на исторических данных и в онлайн-эксперименте. На каждой задаче мы изучим плюсы и минусы пройденных алгоритмов машинного обучения.

Прослушав этот курс, вы познакомитесь с распространенными типами прикладных задач и будете понимать схемы их решения.

Задания и видео курса разработаны на Python 2.","['Evgeniy Riabenko', 'Evgeny Sokolov', 'Victor Kantor ', 'Emeli Dral ', 'Антон Слесарев ']",Russian,"['10,322 already enrolled!', '24,602 recent views']","['Course 5 of 6 in the', '100% online', 'Flexible deadlines', 'Intermediate Level', 'Approx. 26 hours to complete', 'Russian']",4.400000095367432,84,84,"['Data Science', 'Time Series', 'Sentiment Analysis', 'Recommender Systems']","['Бизнес-задачи', 'Анализ медиа', 'Анализ текстов', 'Рекомендации и ранжирование']","['big-data-essentials', 'intro-to-deep-learning']",https://www.coursera.org/learn/data-analysis-applications
380,380,data-analysis-project,Анализ данных: финальный проект,"['Data Science', 'Data Analysis']","Финальный проект даст вам возможность применить полученные в рамках специализации знания к задаче из реального мира. Под руководством успешных специалистов в науке о данных вы сможете поработать над актуальным проектом в одной из областей: электронная коммерция, социальные медиа, информационный поиск, бизнес-аналитика и др.

В отличие от задач, основанных на модельных данных, работа над проектом из реальной жизни даст вам возможность самостоятельно пройти все этапы анализа данных — от подготовки данных до построения финальной модели и оценки её качества. В результате в вашем арсенале появится проект, который вы сможете использовать на практике и самостоятельно развивать в дальнейшем.

Наличие такого проекта станет вашим конкурентным преимуществом, ведь вы всегда сможете продемонстрировать успешный проект потенциальному работодателю.

Задания и видео курса разработаны на Python 2.","['Evgeniy Riabenko', 'Evgeny Sokolov', 'Victor Kantor ', 'Emeli Dral ']",Russian,"['20,163 recent views']","['Course 6 of 6 in the', '100% online', 'Flexible deadlines', 'Advanced Level', 'Approx. 27 hours to complete', 'Russian']",4.699999809265137,44,44,"['Data Science', 'Machine Learning', 'Vowpal Wabbit', 'Data Visualization (DataViz)']","['Неделя 1', 'Неделя 1: Lesson Choices', 'Неделя 2: Lesson Choices', 'Неделя 3: Lesson Choices', 'Неделя 4: Lesson Choices']","['big-data-essentials', 'intro-to-deep-learning']",https://www.coursera.org/learn/data-analysis-project
505,505,ekonometrika,Эконометрика (Econometrics),"['Social Sciences', 'Economics']","Эконометрика – наука, позволяющая исследовать закономерности в реальных данных. К концу курса мы научимся отвечать на два вопроса. Как одна переменная, y, зависит от другой переменной, x? Как спрогнозировать переменную y?

Мы будем подробно изучать линейные регрессионные модели,  рассмотрим наиболее частые отклонения от предпосылок классической линейной регрессии. Изучим базовые модели (логит и пробит) для качественных зависимых переменных. Наряду с теоретической основой мы будем работать с реальными данными, используя статистический пакет R.

Необходимые знания:
Теория вероятностей и математическая статистика.
Линейная алгебра опционально.",['Boris Demeshev'],Russian,"['21,789 already enrolled!', '41,061 recent views']","['100% online', 'Flexible deadlines', 'Approx. 57 hours to complete', 'Russian']",4.900000095367432,61,61,"['Statistics', 'Time Series', 'Econometrics', 'R Programming']","['Метод наименьших квадратов или рабочая лошадка эконометриста, введение в R', 'Статистические свойства оценок коэффициентов', 'Дамми-переменные, сравнение вложенных моделей', 'Мультиколлинеарность']","['economy-russia-transition', 'mathematics-for-economists']",https://www.coursera.org/learn/ekonometrika
